Month,Price
1/1/2010,5.87
2/1/2010,
3/1/2010,7.19
4/1/2010,7.98
5/1/2010,7.86
6/1/2010,7.69
7/1/2010,7.87
8/1/2010,7.43
9/1/2010,8.68
10/1/2010,
11/1/2010,9.52
12/1/2010,9.86
1/1/2011,10.38
2/1/2011,10.80
3/1/2011,10.66
4/1/2011,10.71
5/1/2011,10.64
6/1/2011,10.27
7/1/2011,11.94
8/1/2011,11.77
9/1/2011,11.66
10/1/2011,12.38
11/1/2011,11.69
12/1/2011,12.39
1/1/2012,13.96
2/1/2012,16.59
3/1/2012,18.33
4/1/2012,17.86
5/1/2012,
6/1/2012,17.86
7/1/2012,18.68
8/1/2012,20.34
9/1/2012,20.49
10/1/2012,18.28
11/1/2012,17.98
12/1/2012,16.42
1/1/2013,14.05
2/1/2013,13.62
3/1/2013,13.74
4/1/2013,13.74
5/1/2013,13.96
6/1/2013,12.39
7/1/2013,
8/1/2013,15.22
9/1/2013,14.99
10/1/2013,16.44
11/1/2013,17.49
12/1/2013,17.74
1/1/2014,15.83
2/1/2014,16.64
3/1/2014,17.08
4/1/2014,18.78
5/1/2014,20.14
6/1/2014,20.81
7/1/2014,21.41
8/1/2014,22.96
9/1/2014,22.68
10/1/2014,24.31
11/1/2014,26.77
12/1/2014,24.95
1/1/2015,26.48
2/1/2015,29.04
3/1/2015,28.24
4/1/2015,28.40
5/1/2015,
6/1/2015,28.58
7/1/2015,27.64
8/1/2015,25.70
9/1/2015,25.25
10/1/2015,27.36
11/1/2015,27.08
12/1/2015,24.20
1/1/2016,22.38
2/1/2016,22.23
3/1/2016,25.19
4/1/2016,21.67
5/1/2016,23.08
6/1/2016,22.23
7/1/2016,24.24
8/1/2016,24.67
9/1/2016,26.43
10/1/2016,26.55
11/1/2016,25.84
12/1/2016,27.22
1/1/2017,28.52
2/1/2017,32.20
3/1/2017,33.91
4/1/2017,33.91
5/1/2017,36.06
6/1/2017,34.13
7/1/2017,35.25
8/1/2017,38.87
9/1/2017,36.67
10/1/2017,40.22
11/1/2017,40.89
12/1/2017,40.41
1/1/2018,39.98
2/1/2018,42.54
3/1/2018,40.23
4/1/2018,39.63
5/1/2018,44.81
6/1/2018,44.56
7/1/2018,45.80
8/1/2018,54.79
9/1/2018,54.53
10/1/2018,52.86
11/1/2018,43.13
12/1/2018,38.23
1/1/2019,40.34
2/1/2019,41.97
3/1/2019,46.24
4/1/2019,48.85
5/1/2019,42.62
6/1/2019,48.36
7/1/2019,52.06
8/1/2019,51.01
9/1/2019,54.94
10/1/2019,61.02
11/1/2019,65.55
12/1/2019,72.25
1/1/2020,76.15
2/1/2020,67.25
3/1/2020,62.71
4/1/2020,72.45
5/1/2020,78.41
6/1/2020,90.21
7/1/2020,105.10
8/1/2020,127.64
9/1/2020,114.76
10/1/2020,107.87
11/1/2020,117.97
12/1/2020,131.71
1/1/2021,130.98
2/1/2021,120.36
3/1/2021,121.43
4/1/2021,130.68
5/1/2021,123.87
6/1/2021,136.38
7/1/2021,145.24
8/1/2021,151.19
9/1/2021,141.11
10/1/2021,149.39
11/1/2021,
12/1/2021,177.34
